id	en1	jp1	en2	jp2
1907	belong	帰属する、所属する	He feels that he truly belongs to that team.	彼はそのチームに所属していると感じています。
1908	strict	厳格な、厳しい	The teacher was very strict with the students.	先生は学生に対して非常に厳格でした。
1909	reserve	予約、備蓄	I made a reservation for a table at the restaurant.	私はレストランの席を予約しました。
1910	baggage	手荷物、旅行かばん	I checked my baggage at the airport.	空港で手荷物を預けました。
1911	bag	かばん、袋	She packed her bag with all the essentials for the trip.	彼女はその旅行のために必要なものをすべてかばんに詰めました。
1912	ruin	台無しにする、破壊する	The storm could ruin our picnic plans for the weekend.	嵐のせいで週末のピクニックの予定が台無しになるかもしれません。
1913	stain	汚れ、染み	I got a red stain on my shirt.	シャツに赤い汚れがついてしまいました。
1914	take	取る、受け取る	Please take your time to finish the assignment.	宿題を終えるために時間をかけてください。
1915	shorten	短くする、短縮する	I need to shorten this essay before submitting it.	このエッセイを提出する前に短くする必要があります。
1916	compare	比較する、対比する	We need to compare the results of both experiments to draw a conclusion.	私たちは結論を引き出すために両方の実験結果を比較する必要があります。
1917	bridge	橋	The bridge is an important means of transportation over the river.	その橋は川を越える重要な交通手段です。
1918	unit	単位、一つの部品	The metric unit for measuring length is the meter.	長さを測るためのメートル法の単位はメートルです。
1919	avoid	避ける、回避する	Try to avoid distractions while studying.	勉強中は気を散らすものを避けるようにしましょう。
1920	use	使用、使う	You can save time by using this app.	このアプリを使うと、時間を節約できます。
1921	deal	取り決め、取引、扱う	We reached a deal after hours of negotiation.	私たちは数時間の交渉の末、取り決めに達した。
1922	roll	転がる、回転する	The child loves to roll the ball down the hill.	その子供はボールを丘の下に転がすのが大好きです。
1923	discussion	議論	We had an in-depth discussion about the details of the upcoming project.	私たちは次回のプロジェクトについて詳細な議論を行いました。
1924	attract	引きつける、魅了する	Her captivating smile attracted many people.	彼女の魅力的な笑顔は多くの人を引きつけました。
1925	mill	製粉所、工場	The old mill by the river has been converted into a popular café.	川のそばにある古い製粉所は、人気のあるカフェに改装されました。
1926	brick	レンガ、煉瓦、堅い素材	The wall was built with red bricks that gave it a sturdy appearance.	その壁は赤いレンガで作られており、頑丈な外観を与えていました。
1927	warn	警告する、注意する	The police officer warned us about the danger.	警察官は私たちに危険を警告しました。
1928	prison	牢獄、刑務所	He spent ten years in prison for his crimes.	彼は犯罪のために10年間刑務所に入りました。
1929	attend	出席する、参加する	I will attend the meeting.	会議に出席します。
1930	actor	俳優	He is an actor working in Hollywood.	彼はハリウッドで活躍する俳優です。
1931	that	その、あれ、あのこと	I can't believe that you did that!	あなたがそんなことをしたなんて信じられない！
1932	persuade	説得する	She tried to persuade her friends to join her on the trip.	彼女は友達を旅行に参加するよう説得しようとしました。
1933	momentary	一瞬の、短時間の	Her momentary hesitation gave me a chance to speak.	彼女の一瞬のためらいが私に話すチャンスを与えてくれました。
1934	worm	虫、ミミズなどの小さな生き物	The children were fascinated by the tiny worm they found in the garden.	子供たちは庭で見つけた小さなミミズに夢中になっていました。
1935	deed	行為、行動、業績	He carried out a noble deed by donating to the local charity.	彼は地元の慈善団体に寄付をすることで、立派な行為を実行しました。
1936	advice	名詞「助言」「アドバイス」	He gave his friend some good advice.	彼は友人に良いアドバイスを与えました。
1937	education	教育	Education is an investment in the future.	教育は未来への投資です。
1938	drag	引きずる、引っ張る	She had to drag the heavy suitcase across the airport.	彼女は重いスーツケースを空港で引きずらなくてはならなかった。
1939	destroy	破壊する、壊す	The storm was so powerful that it could destroy anything in its path.	その嵐は非常に力強く、道にあるものを何でも破壊できるほどでした。
1940	fame	名声、有名であること	She achieved fame through her outstanding talent and hard work.	彼女はその卓越した才能と努力によって名声を得ました。
1941	hay	干し草	The farmer gathered hay for the cows.	農夫は牛のために干し草を集めました。
1942	reference	参照、参考資料	Please refer to the reference section of the book for more information.	詳細については、書籍の参考文献セクションを参照してください。
1943	could	できる、可能性がある	She could finish her work on time if she stays focused.	彼女は集中すれば、時間通りに仕事を終えることができる。
1944	chain	鎖、連鎖、つながり	The thief was caught because he left behind a broken chain.	その泥棒は、壊れた鎖を残したために捕まった。
1945	hill	丘、斜面	We climbed to the top of the hill to enjoy the view.	私たちは景色を楽しむために丘の頂上まで登りました。
1946	roast	焼く、ロースト	She roasted the chicken in the oven for dinner.	彼女は夕食のために鶏肉をオーブンでローストしました。
1947	fit	合う、適する	This dress fits you perfectly.	この服はあなたにぴったりです。
1948	work	仕事、作業	He works late every day.	彼は毎日遅くまで仕事をしています。
1949	afternoon	午後	I had a picnic with my friends in the afternoon.	午後は友達と公園でピクニックをしました。
1950	chief	長官、首領、最高位の人	The chief of the department announced the new policy today.	その部署の長が今日、新しい方針を発表しました。
1951	handwriting	手書きの文字、筆跡	Her handwriting is so elegant that it looks like it belongs in a beautiful book.	彼女の手書きはとても優雅で、美しい本に載っているように見えます。
1952	smell	匂い	The smell of the flowers is very pleasant.	花の匂いはとても心地よいです。
1953	split	分ける、割る	I decided to split the pizza with my friends.	友達とピザを分けることにしました。
1954	patient	患者、気長な	The doctor advised the patient to be patient during the recovery process.	医者は患者に回復過程で気長になるようにアドバイスしました。
1955	copy	コピー、複製すること	Please make a copy of this document for me.	この書類のコピーを私のために作ってください。
1956	notice	通知、告知	She found a new notice on the bulletin board.	彼女は掲示板に新しい通知を見つけました。
1957	expression	表現、表情	She has a unique expression when she is deep in thought.	彼女は考え事をしているとき、独特の表情をしています。
1958	material	材料、素材	The artist chose vibrant colors and textured materials for her latest sculpture.	そのアーティストは最新の彫刻のために鮮やかな色とテクスチャーのある材料を選びました。
1959	machine	機械、装置	The factory uses a large machine to assemble the products.	その工場では、大きな機械を使って製品を組み立てています。
1960	month	月	This month is very busy for me.	今月はとても忙しいです。
1961	literature	文学、文献	Reading classic literature can provide deep insights into different cultures and historical periods.	古典文学を読むことは、さまざまな文化や歴史的な時代への深い洞察を提供してくれます。
1962	like	好む、～が好き	I like dogs.	私は犬が好きです。
1963	somehow	どういうわけか、なんとかして	I somehow managed to finish the project on time.	なんとかしてそのプロジェクトを期限内に終わらせることができました。
1964	exchange	交換する	We exchanged contact information.	私たちは連絡先を交換しました。
1965	chicken	鶏肉、鶏	I had grilled chicken for dinner last night.	昨夜の夕食にグリルチキンを食べました。
1966	jaw	顎（あご）、顎の骨	He injured his jaw while playing soccer.	彼はサッカーをしている時に顎をけがしました。
1967	seat	席	Please take a seat in the empty chair.	空いている席に座ってください。
1968	exist	存在する	There may be many life forms that exist in our universe that are yet to be discovered.	私たちの宇宙には、まだ解明されていない多くの生命が存在するかもしれません。
1969	family	家族	The family always supports each other and shares love.	家族はいつも支え合い、愛を分かち合っています。
1970	will	意思、未来の行動を表す助動詞	I will finish my homework before dinner.	私は夕食の前に宿題を終わらせます。
1971	taste	味	This dish has the taste of fresh herbs and is very delicious.	この料理は新鮮なハーブの味がして、とても美味しいです。
1972	forward	前に、進む方向	She took a step forward to express her feelings.	彼女は自分の気持ちを伝えるために一歩前に進んだ。
1973	escape	逃げる、脱出する	He acted quickly to escape from the dangerous situation.	彼は危険な状況から逃げるために素早く行動しました。
1974	beneath	下に、の下に	The cat is hiding beneath the table.	猫はテーブルの下に隠れています。
1975	pair	対、ペア、組	I bought a pair of shoes for my friend’s birthday.	友達の誕生日に靴を一足買いました。
1976	anyhow	とにかく、どうにかして	We have to finish the job anyhow.	どうにかして、その仕事を終わらせなければならない。
1977	then	それから、その後	I went to the store, and then I cooked dinner.	私は店に行って、それから夕食を作りました。
1978	class	授業、クラス、階級	I attended a fascinating biology class yesterday.	昨日、興味深い生物学の授業に参加しました。
1979	stir	かき混ぜる、掻き立てる	Please stir the soup until it becomes smooth.	スープが滑らかになるまでかき混ぜてください。
1980	inward	内向的な、内側の	She took an inward breath before speaking to the crowd.	彼女は群衆に向かって話す前に、深呼吸をした。
1981	minute	分、ミニッツ	The meeting will start in one minute.	会議はあと1分で始まります。
1982	director	ディレクター、監督	The director oversees the production of the film.	ディレクターは映画の制作を指揮します。
1983	towel	タオル、拭くための布製品	I took a towel from the bathroom to dry my hands.	バスルームからタオルを取って手を拭きました。
1984	instant	即時の、瞬時の	You can get an instant response by pressing the help button.	ヘルプボタンを押すことで、即時の応答を得ることができます。
1985	paw	足、特に動物の足や手のこと	Cats love to groom their paws.	猫は自分の足をきれいに舐めるのが好きです。
1986	pardon	許し、許可	Could you please pardon my mistake in the report?	報告書の間違いを許していただけますか？
1987	I	自己、私、主語としての「I」	I enjoy reading books in my free time.	私は自由な時間に本を読むのが好きです。
1988	collar	襟、首輪	She wore a beautiful dress with a lace collar.	彼女はレースの襟がついた美しいドレスを着ていた。
1989	shake	振る、揺れる	Please shake the bottle before using the medicine.	薬を使う前にボトルを振ってください。
1990	mind	心、思考、考え	She has a creative mind that comes up with innovative ideas.	彼女は革新的なアイデアを考え出す創造的な思考を持っています。
1991	union	団結、連合	The workers formed a union to protect their rights.	労働者たちは自分たちの権利を守るために組合を結成した。
1992	red	赤色、情熱や危険を象徴する色	The red apple on the table looked so delicious.	テーブルの上の赤いリンゴはとても美味しそうに見えた。
1993	board	板、ボード	He started painting on a wooden board.	彼は木のボードに絵を描き始めました。
1994	camp	キャンプ、野宿すること	We are going to camp in the mountains this weekend.	今週末、私たちは山でキャンプをする予定です。
1995	big	大きい、巨大な	The elephant is a big animal that lives in the savannah.	その象はサバンナに住んでいる大きな動物です。
1996	necessary	必要なこと、必須のこと	It is necessary to have effort and planning in order to succeed.	成功するためには、努力と計画が必要です。
1997	razor	剃刀、髭剃りや髪の毛を切るための鋭い刃物	He shaves his beard with a razor every morning.	彼は毎朝、剃刀で髭を剃ります。
1998	procession	行列、行進	The wedding procession was beautiful.	結婚式の行列は美しかった。
1999	connect	接続する、つなぐ	He connected his computer to the internet.	彼は自分のコンピューターをインターネットに接続しました。
2000	away	離れた、遠くに	She moved away to a distant city.	彼女は遠くの街へ引っ越してしまいました。
2001	merry	楽しい、陽気な	We had a merry time celebrating her birthday.	彼女の誕生日を祝って楽しい時間を過ごしました。
2002	bean	豆	I added some black beans to the salad for extra protein.	サラダにタンパク質を増やすために黒豆を加えました。
2003	tomorrow	明日	I plan to go to bed early because tomorrow is an important day.	明日は大切な日なので、早く寝るつもりです。
2004	thorough	徹底的な、隅々まで行き届いた	His investigation was very thorough.	彼の調査は非常に徹底的でした。
2005	weak	弱い、脆い	He gets sick every year with the flu because he is weak.	彼は体が弱くて、毎年インフルエンザにかかります。
2006	jealousy	嫉妬、不満から生じる感情	Her jealousy caused her to doubt his love for her.	彼女の嫉妬が彼の愛を疑わせる原因となった。
2007	blow	吹く、風	The wind is blowing strongly.	風が強く吹いています。
2008	darken	暗くする、濃くする	The clouds began to darken the sky, signaling an approaching storm.	雲が空を暗くし始め、嵐が近づいている合図となった。
2009	water	水	It's important to drink enough water every day to stay hydrated.	毎日十分な水を飲んで水分補給をすることが大切です。
2010	news	ニュース、知らせ	I heard some surprising news about our favorite band.	私たちのお気に入りのバンドについて驚くべきニュースを聞きました。
2011	dust	ほこり	He dusted the room to make it clean.	彼は部屋をきれいにするためにほこりを払いました。
2012	bit	少し、わずか	Could you please take a bit of time to help me with this task?	この作業を手伝ってもらうのに少し時間を取ってもらえますか？
2013	become	なる、変化する	She wants to become a doctor in the future.	彼女は将来医者になりたいです。
2014	early	早い、早く	I woke up early and went for a morning walk.	私は早く起きて、朝の散歩に出かけました。
2015	tobacco	たばこ、タバコの葉などから作られる嗜好品	Smoking tobacco can have serious health consequences over time.	喫煙は時間が経つにつれて深刻な健康への影響を及ぼす可能性があります。
2016	bone	骨、物の骨格や基本的な部分	The dog buried a bone in the backyard.	その犬は裏庭に骨を埋めました。
2017	idea	アイデア	She came up with a brilliant idea that made the project a success.	彼女は素晴らしいアイデアを思いついて、プロジェクトを成功させました。
2018	dictionary	辞書	I looked up the meaning of a new word in the dictionary.	辞書を使って新しい単語の意味を調べました。
2019	tailor	仕立て屋、または、適合させる・調整する人	The tailor made a beautiful suit for the wedding.	その仕立て屋は結婚式のために美しいスーツを作りました。
2020	fork	フォーク、食器の一種	Please use a fork to eat your salad.	サラダを食べるときはフォークを使ってください。
2021	egg	卵	She cooked a delicious omelet with two fresh eggs.	彼女は新鮮な卵二つで美味しいオムレツを作った。
2022	offer	提供する	I offered him a cup of coffee.	私は彼にコーヒーを提供しました。
2023	extend	拡張する、延長する	We decided to extend our vacation by another week.	私たちは休暇をもう1週間延長することに決めました。
2024	aloud	声に出して、はっきりと	She read the book aloud.	彼女は本を声に出して読んでいました。
2025	ride	乗ること、乗り物の利用	I am excited to ride the roller coaster at the amusement park.	遊園地でジェットコースターに乗るのが楽しみです。
2026	engine	エンジン、機械の動力源	The car's engine was making a strange noise.	その車のエンジンは変な音を立てていた。
2027	among	間に、の中で、の中に	The secret was only known among our closest friends.	その秘密は、私たちの親しい友人たちの間でしか知られていなかった。
2028	mass	質量、大量	The mass of the object in space affects how it interacts with gravity.	宇宙にある物体の質量は、重力との相互作用に影響を与えます。
2029	wipe	拭く、消去する	Please wipe the table before we sit down for dinner.	夕食を始める前にテーブルを拭いてください。
2030	winter	冬	In winter, the snow falls and the town is beautifully adorned.	冬になると雪が降り、街は美しく装飾されます。
2031	map	地図、地図帳	I used a map to find my way through the city.	私は街を通り抜けるために地図を使いました。
2032	engineer	エンジニア、技術者	She decided to become an engineer because she loves solving complex problems.	彼女は複雑な問題を解決するのが好きだからエンジニアになることに決めた。
2033	leave	去る、出発する、離れる	I decided to leave early to avoid the traffic.	混雑を避けるために早めに出発することにしました。
2034	mother	母、母親	My mother always supports me in everything I do.	私の母は、私がするすべてのことを常に応援してくれます。
2035	luck	運、幸運	I found a four-leaf clover, and I believe it's my lucky charm.	四つ葉のクローバーを見つけて、これは私の幸運のシンボルだと思います。
2036	either	どちらか、いずれかの選択肢	You can either go to the party or stay home and rest.	あなたはパーティーに行くか、家にいて休むかのどちらかを選べます。
2037	representative	代表者、代理人	The representative presented our ideas at the conference.	その代表者が会議で私たちのアイデアを発表しました。
2038	nephew	甥	His nephew receives special gifts every year on his birthday.	彼の甥は毎年誕生日に特別なプレゼントをもらいます。
2039	table	テーブル、表	The dining table is set for a delicious meal.	食事のためにダイニングテーブルが用意されています。
2040	spoon	スプーン、食器の一種	I used a spoon to eat my soup.	私はスープを飲むためにスプーンを使いました。
2041	foreign	外国の	She is interested in foreign cultures and is planning a trip.	彼女は外国の文化に興味があり、旅行を計画しています。
2042	break	壊す、中断する	I need to take a break from studying to clear my mind.	勉強から少し休憩を取って頭をリフレッシュする必要があります。
2043	president	大統領、社長	The president addressed the nation during the crisis.	大統領は危機の際に国民に演説をしました。
2044	offend	侮辱する、気分を害する	His insensitive words offended many people.	彼の無神経な言葉は多くの人々を侮辱した。
2045	distant	遠い、離れた	The distant mountains were shrouded in mist.	遠くの山々は霧に包まれていた。
2046	mechanic	整備士、機械工	The mechanic fixed my car in no time.	整備士は私の車をあっという間に修理してくれました。
2047	dance	踊ること、ダンス	She loves to dance at parties and celebrates every occasion with joy.	彼女はパーティーで踊るのが大好きで、あらゆる機会を喜びと共に祝います。
2048	if	もしも、〜ならば	If it rains tomorrow, we will stay indoors.	明日雨が降ったら、私たちは家の中にいます。
2049	sailor	海員、船乗り	The sailor bravely navigated through the stormy seas.	その水夫は嵐の海を勇敢に航海した。
2050	god	神、神様	Many people find comfort in their belief in God during difficult times.	多くの人々は困難な時期に神への信仰に慰めを見出します。
2051	article	記事、論文	The article discusses the impact of climate change on global agriculture.	その記事は、気候変動が世界の農業に与える影響について論じています。
2052	how	方法、どのように	How do you solve this difficult problem?	この難しい問題は、どのように解きますか？
2053	behave	振る舞う、行動する	He behaved very well at the party.	彼はパーティーでとても良い振る舞いをしました。
2054	vowel	母音	"a", "i", "u", "e", and "o" are vowels.	「a」、「i」、「u」、「e」、「o」は母音です。
2055	terrible	ひどい、恐ろしい	His terrible behavior shocked everyone.	彼のひどい行為は皆に衝撃を与えた。
2056	lock	ロック、鍵をかけること	Please remember to lock the door before you leave the house.	出かける前にドアに鍵をかけることを忘れないでください。
2057	manage	管理する、対処する	I need to manage my time better to meet all my deadlines.	すべての締め切りに間に合うように、もっと時間を管理する必要がある。
2058	dozen	12個、ダース	She bought a dozen eggs from the store.	彼女は店で12個の卵を買いました。
2059	however	しかし、だが	However, we must consider the potential risks before making a decision.	しかし、私たちは決定を下す前に潜在的なリスクを考慮しなければなりません。
2060	unless	〜でない限り、もし〜でなければ	You won't succeed unless you work hard.	一生懸命に働かない限り、成功することはないでしょう。
2061	stair	階段	He climbs the stairs to go to work every morning.	彼は毎朝階段を上って仕事に行きます。
2062	quart	クォート（液量の単位、約0.95リットル）	I measured the milk in a quart for the recipe.	レシピのためにミルクをクォートで測りました。
2063	lay	置く、横たえる	Please lay the book on the table.	本をテーブルの上に置いてください。
2064	youth	若さ、青春	Youth is often considered a time of dreams and possibilities.	青春は、夢や可能性の時期と考えられることが多い。
2065	colony	植民地、群れ	The ant colony worked tirelessly to gather food for the winter.	アリのコロニーは冬に備えて食料を集めるために懸命に働いていました。
2066	lake	湖	He was reading a book by the quiet lake.	彼は静かな湖のほとりで本を読んでいました。
2067	boil	沸騰させる、ゆでる	Please boil the water.	お湯を沸かしてください。
2068	devil	悪魔、邪悪な存在	The devil tempted him to make a wrong decision.	悪魔は彼に間違った決断をするよう誘惑した。
2069	learn	学ぶ、習得する	He practices every day to learn a new language.	彼は新しい言語を学ぶために毎日練習しています。
2070	easy	簡単な、楽な	This problem is so easy that I think you can solve it right away.	この問題は非常に簡単なので、すぐに解けると思います。
2071	belt	ベルト、帯状の物	I bought a new leather belt for my suit.	スーツのために新しい革のベルトを買いました。
2072	omission	省略、脱落	His name was an omission from the list.	彼の名前がリストから省略されていた。
2073	when	いつ、～する時	I will call you when I arrive at the station.	駅に着いた時に電話します。
2074	load	積み込む、荷物を載せる	Please load the boxes onto the truck carefully.	ボックスをトラックに丁寧に積み込んでください。
2075	dismiss	解雇する、退ける、無視する	The manager decided to dismiss the proposal due to lack of evidence.	マネージャーは根拠が不足しているため、その案を退けることに決めました。
2076	uncle	おじ	My uncle told the children some interesting stories.	おじは子供たちに面白い話をしてくれました。
2077	die	死ぬ	He died of illness last year.	彼は昨年、病気で亡くなりました。
2078	sweep	掃く、掃除する	Please remember to sweep the floor before our guests arrive.	お客様が到着する前に床を掃除するのを忘れないでください。
2079	snow	雪	The snow covered the ground in a beautiful white blanket.	雪は地面を美しい白い布で覆った。
2080	raise	上げる、育てる	She raised her hand to ask a question.	彼女は手を上げて質問をしました。
2081	depend	依存する、頼る	You can always depend on your friends to support you.	友達はいつでもあなたを支えてくれるので、頼りにできます。
2082	mouth	口、話す場所	She smiled and opened her mouth to speak.	彼女は微笑んで話すために口を開けた。
2083	hesitate	躊躇する、ためらう	He hesitated to make the decision.	彼はその決断をすることにためらっていた。
2084	christmas	クリスマス、キリストの誕生を祝う日	We celebrate Christmas with our family every year.	私たちは毎年家族と一緒にクリスマスを祝います。
2085	fire	火、炎、発火	The firefighters quickly responded to the raging fire in the forest.	消防士たちは森の中で燃え盛る火に迅速に対応した。
2086	pet	ペット、飼い犬や飼い猫などの動物	I bought a new pet rabbit for my daughter.	私は娘のために新しいペットのウサギを買いました。
2087	commercial	商業の、商業に関する	The company launched a new commercial to promote its product.	その会社は、自社の製品を宣伝するために新しいコマーシャルを放送しました。
2088	wind	風	A strong wind is blowing.	強い風が吹いています。
2089	there	そこに、あの場所に	There are many beautiful parks in this city.	この街にはたくさんの美しい公園があります。
2090	game	ゲーム、試合	I love playing video games with my friends on the weekends.	私は週末に友達とビデオゲームをするのが大好きです。
2091	flame	炎、火焰	The candle's flame flickered in the dark room.	キャンドルの炎が暗い部屋で揺れていました。
2092	he	彼、男性を指す代名詞	He is my best friend and always supports me.	彼は私の親友で、いつも私を支えてくれます。
2093	perfect	完璧な、完全な	Her performance in the play was absolutely perfect.	彼女の劇での演技は完全に完璧でした。
2094	encourage	励ます、奨励する	The teacher encouraged the students to ask questions.	先生は生徒たちに質問するように励ました。
2095	top	一番上、最高の地位やレベル	She reached the top of the mountain and felt a sense of accomplishment.	彼女は山の頂上に達し、達成感を感じました。
2096	golden	金色の、素晴らしい、貴重な	The sunset cast a golden glow over the horizon.	夕日が地平線に金色の光を投げかけました。
2097	tray	トレイ、載せるための平らな容器	Please place the dishes on the tray before serving.	サーブする前に、お皿をトレイに置いてください。
2098	special	特別な、特有の	She received a special award for her outstanding performance.	彼女は卓越したパフォーマンスに対して特別な賞を受けました。
2099	citizen	市民	The citizens worked together to ensure the safety of their community.	市民は地域の安全を守るために協力しました。
2100	lesson	レッスン、授業	I take an English lesson every Wednesday.	私は毎週水曜日に英語のレッスンを受けています。
2101	tax	税金	The government is planning to increase the tax on luxury goods.	政府は贅沢品に対する税金を増加させる計画を立てています。
2102	loosen	緩める、和らげる	Loosen your belt.	ベルトを緩めてください。
2103	east	東、方角	The sun rises in the east every morning.	太陽は毎朝東から昇ります。
2104	criminal	犯罪者、犯人	The criminal was arrested by the police.	犯罪者は警察に逮捕されました。
2105	complaint	不満、苦情	I filed a complaint about the poor service at the restaurant.	そのレストランのサービスの悪さについて苦情を申し立てました。
2106	neighborhood	近所、地域社会	I love going for walks in my neighborhood every evening.	毎晩、近所を散歩するのが大好きです。
2107	boast	自慢する	He likes to boast about his success.	彼は自分の成功を自慢することが好きです。
2108	horse	馬	The horse galloped gracefully across the field.	馬は優雅に野原を駆け抜けた。
2109	suit	スーツ、服装の一種	He wore a tailored suit to the business meeting.	彼はビジネス会議に合わせたスーツを着ていた。
2110	notebook	ノート、書き込みなどをするための冊子	I always carry a notebook to jot down my ideas.	私はアイデアを書き留めるためにいつもノートを持ち歩いています。
2111	sincere	誠実な、心からの	He always treats others with a sincere attitude.	彼はいつも誠実な態度で他人に接しています。
2112	whether	～かどうか、～であるかどうか	I am not sure whether it will rain tomorrow.	明日雨が降るかどうかはわかりません。
2113	explain	説明する	The teacher explained the problem.	先生は問題を説明しました。
2114	inquiry	調査、問合せ	The professor welcomed the students' inquiry into the topic of climate change.	教授は、気候変動のテーマについての学生の調査を歓迎しました。
2115	field	野原、分野	He conducts outstanding research in the field of science.	彼は科学の分野で優れた研究を行っています。
2116	dependent	依存している、依存者	She is financially dependent on her parents while she finishes her studies.	彼女は学業を終えるまで、両親に経済的に依存しています。
2117	collector	収集家、収集する人	She is an avid collector of rare stamps.	彼女は珍しい切手の熱心な収集家です。
2118	introduction	紹介、導入	I will give a presentation to provide an introduction to the new project.	新しいプロジェクトの紹介をするために、プレゼンテーションを行います。
2119	spirit	精神、霊、気力	She has a strong spirit that keeps her motivated through tough times.	彼女は厳しい時期を乗り越えるために強い気力を持っています。
2120	sense	感覚、感じること	She has a strong sense of smell that allows her to detect even the slightest odors.	彼女は微弱な匂いさえも感じ取ることができる強い嗅覚を持っています。
2121	rake	熊手、かき集める	The gardener raked up the fallen leaves.	庭師は落ち葉を熊手でかき集めました。
2122	catch	捕まえる、受け取る	I managed to catch the bus just in time.	私はちょうど間に合ってバスに乗ることができました。
2123	adventure	冒険、刺激的な体験	He is an adventurer looking forward to visiting a new country.	彼は新しい国を訪れることを楽しみにしている冒険家です。
2124	grow	成長する、育つ	Plants grow towards the sunlight.	植物は太陽の光に向かって育ちます。
2125	drink	飲む	She drinks coffee every day.	彼女は毎日コーヒーを飲みます。
2126	pronounce	発音する、声に出して言うこと	He struggled to pronounce the word correctly.	彼はその単語を正しく発音するのに苦労しました。
2127	educator	教育者、教育する人	An educator plays a vital role in shaping the minds of students.	教育者は学生の心を形成する上で重要な役割を果たします。
2128	across	横断して、向こう側に	He walked across the street to get to the other side.	彼は道路を横断して向こう側に渡りました。
2129	habit	習慣、癖	She has a habit of reading before bed every night.	彼女は毎晩寝る前に読む習慣があります。
2130	arch	アーチ、円弧の形状	The old stone bridge has a beautiful arch that supports its structure.	その古い石の橋には、構造を支える美しいアーチがあります。
2131	equal	平等な、同等の	All people should be treated as equal, regardless of their background.	すべての人々は、出身に関係なく平等に扱われるべきです。
2132	wrap	包む、ラップ	He wrapped the gift beautifully.	彼はプレゼントをきれいに包んだ。
2133	rush	急ぐこと、突進すること	I always feel a rush of excitement before going on stage.	ステージに上がる前は、いつも興奮の高まりを感じます。
2134	lose	失う、喪失する	I am afraid I might lose my keys again.	また鍵を失ってしまうのではないかと心配しています。
2135	gun	銃、武器	He was arrested for carrying a gun without a permit.	彼は許可なく銃を所持していたために逮捕されました。
2136	paint	絵の具、ペンキ	She started to paint the wall with blue paint.	彼女は壁を青いペンキで塗り始めました。
2137	shame	恥、恥ずかしさ	I felt a deep sense of shame after realizing my mistake.	自分の間違いに気づいたとき、深い恥ずかしさを感じました。
2138	applause	拍手	The audience gave a big applause after the performance was over.	観客は演技が終わると大きな拍手を送りました。
2139	mystery	神秘、謎	The disappearance of the ancient artifact remains a fascinating mystery.	古代の遺物の消失は魅力的な謎のままです。
2140	fierce	激しい、強烈な	She faced a fierce competitor during the match.	彼女は試合中に激しい競争相手と戦いました。
2141	morning	朝	I wake up early every morning to go for a walk.	私は毎朝早く起きて散歩をします。
2142	spring	春	Flowers start to bloom in spring.	春には花が咲き始めます。
2143	noise	騒音、音	I can't sleep because of the noise from the construction.	工事の騒音で眠れません。
2144	fun	楽しさ、楽しいこと	The children had a fun time at the park.	子供たちは公園で楽しい時間を過ごしました。
2145	satisfaction	満足、満足感	The customer's satisfaction is our top priority.	顧客の満足は私たちの最優先事項です。
2146	violence	暴力、力による攻撃や行動	Violence is not the solution to conflict.	暴力は対立の解決策ではありません。
2147	serve	仕える、給仕する	She serves as a waitress at the restaurant.	彼女はレストランでウェイトレスとして働いています。
2148	always	常に、いつも	He always has a positive attitude.	彼は常にポジティブな態度を持っている。
2149	position	位置、地位	She applied for a management position at the company.	彼女はその会社の管理職に応募しました。
2150	brother	兄弟、兄、弟	My brother is coming to visit me this weekend.	私の兄弟が今週末に私を訪ねてくる。
2151	frequent	頻繁な、度々起こる	She makes frequent visits to her grandmother's house.	彼女は祖母の家に頻繁に訪れます。
2152	employee	従業員	The new employee has joined the company.	新しい従業員が会社に加わりました。
2153	angle	角度	He measured the angle of the wall accurately using a protractor.	彼は測定器を使って壁の角度を正確に計りました。
2154	chimney	煙突	The smoke from the fireplace went up the chimney.	暖炉からの煙は煙突を上っていきました。
2155	island	島	He is looking forward to his vacation on the beautiful island.	彼は、美しい島での休暇を楽しみにしています。
2156	slide	滑ること、スライドすること	Please slide the door open gently.	ドアを優しくスライドさせて開けてください。
2157	delay	遅延、遅れ	The meeting was delayed due to traffic congestion.	会議が交通渋滞のために遅れました。
2158	care	配慮、注意、世話	She always takes great care when handling delicate materials.	彼女は繊細な材料を扱うとき、常に細心の注意を払います。
2159	knowledge	知識、情報の理解や認識	Having a broad knowledge of various subjects can greatly enhance your problem-solving skills.	さまざまな分野について幅広い知識を持つことは、問題解決能力を大いに高めることができます。
2160	enter	入る、入ること	Please enter your password to access the system.	システムにアクセスするためにパスワードを入力してください。
2161	partner	パートナー、協力者	She has been my partner in every project we've undertaken.	彼女は私たちが取り組んできたすべてのプロジェクトで私のパートナーでした。
2162	grain	穀物、粒	Rice is an important grain.	米は重要な穀物です。
2163	speech	スピーチ、演説	He delivered an inspiring speech at the graduation ceremony.	彼は卒業式で感動的なスピーチを行った。
2164	patriotic	愛国的な	He made a patriotic speech that inspired everyone at the event.	彼はイベントで皆を鼓舞する愛国的なスピーチをしました。
2165	soup	スープ、液体状の料理	I enjoy a warm bowl of soup on a chilly day.	寒い日に温かいスープのボウルを楽しむのが好きです。
2166	stream	流れ、小川、およびデータの連続的な流れ	The serene stream flowed gently through the lush green forest.	穏やかな小川が緑の豊かな森をゆったりと流れていました。
